Year,Origin,Dest,Distance,Flights_Count,DepDelay_Sum,ArrDelay_Sum
2001,TUS,SJC,721,512,74,73
2001,TYS,CLT,177,830,93,146
2001,TYS,DFW,772,973,82,92
2001,VPS,MEM,369,1368,135,169
2001,XNA,LGA,1147,498,129,132
2001,YAK,JNU,199,363,88,99
2002,ABE,DTW,424,731,80,95
2002,ABI,DFW,158,2437,242,355
2002,ABQ,DAL,580,2050,377,333
2002,ABQ,ELP,223,1333,407,400
2002,ABQ,LBB,289,694,175,179
2002,ABQ,MCI,718,1058,174,134
2002,ADQ,ANC,252,726,196,185
2002,ALB,CLT,646,718,51,118
2002,ALB,DTW,488,1431,173,211
2002,ALB,LAS,2237,365,28,32
2002,ALB,MCO,1073,730,25,44
2002,ANC,ADQ,252,726,205,202
2002,ANC,CDV,160,363,135,136
2002,ANC,DUT,792,738,258,261
2002,ANC,IAH,3266,122,9,9
2002,ANC,ORD,2846,557,17,18
2002,ATL,CMH,446,2431,393,472
2002,ATL,COS,1185,843,74,105
2002,ATL,FLL,581,4032,715,942
2002,ATL,IAH,689,4365,625,896
2002,ATL,LAX,1946,2753,144,206
2002,ATL,LEX,303,836,189,248
2002,ATL,MCO,403,4633,1204,1477
2002,ATL,MDW,590,1296,140,241
2002,ATL,MIA,595,5040,862,1206
